petal_length,petal_width,species,setosa,,,,petal_length,petal_width,species,versicolor,,,,petal_length,petal_width,species,virginica,,,petal_length,setosa,versicolor,virginica,,,,setosa,versicolor,virginica,,,
1.5,0.2,setosa,1.513274595,,,,5,1.7,versicolor,5.281098371,,,,4.9,1.8,virginica,5.220153254,,,1.5,0.2,,,,,28,1.513274595,5.281098371,5.220153254,2.29,27.89,27.25
1.4,0.2,setosa,1.414213562,,,,4.5,1.5,versicolor,4.74341649,,,,5.6,2.1,virginica,5.980802622,,,1.4,0.2,,,,,29,1.414213562,4.74341649,5.980802622,2,22.5,35.77
1.6,0.2,setosa,1.61245155,,,,3.5,1,versicolor,3.640054945,,,,5.8,1.6,virginica,6.016643583,,,1.6,0.2,,,,,30,1.61245155,3.640054945,6.016643583,2.6,13.25,36.2
1.6,0.2,setosa,1.61245155,,,,3.8,1.1,versicolor,3.956008089,,,,6.1,1.9,virginica,6.389053138,,,1.6,0.2,,,,,31,1.61245155,3.956008089,6.389053138,2.6,15.65,40.82
1.5,0.4,setosa,1.55241747,,,,3.7,1,versicolor,3.832753579,,,,6.4,2,virginica,6.705221846,,,1.5,0.4,,,,,32,1.55241747,3.832753579,6.705221846,2.41,14.69,44.96
1.5,0.1,setosa,1.503329638,,,,3.9,1.2,versicolor,4.080441153,,,,5.6,2.2,virginica,6.016643583,,,1.5,0.1,,,,,33,1.503329638,4.080441153,6.016643583,2.26,16.65,36.2
1.4,0.2,setosa,1.414213562,,,,5.1,1.6,versicolor,5.345091206,,,,5.1,1.5,virginica,5.316013544,,,1.4,0.2,,,,,34,1.414213562,5.345091206,5.316013544,2,28.57,28.26
1.5,0.1,setosa,1.503329638,,,,4.5,1.5,versicolor,4.74341649,,,,5.6,1.4,virginica,5.772347876,,,1.5,0.1,,,,,35,1.503329638,4.74341649,5.772347876,2.26,22.5,33.32
1.2,0.2,setosa,1.216552506,,,,4.5,1.6,versicolor,4.775981575,,,,6.1,2.3,virginica,6.519202405,,,1.2,0.2,,,,,36,1.216552506,4.775981575,6.519202405,1.48,22.81,42.5
1.3,0.2,setosa,1.315294644,,,,4.7,1.5,versicolor,4.933558553,,,,5.6,2.4,virginica,6.092618485,,,1.3,0.2,,,,,37,1.315294644,4.933558553,6.092618485,1.73,24.34,37.12
1.5,0.1,setosa,1.503329638,,,,4.4,1.3,versicolor,4.588027899,,,,5.5,1.8,virginica,5.787054518,,,1.5,0.1,,,,,38,1.503329638,4.588027899,5.787054518,2.26,21.05,33.49
1.3,0.2,setosa,1.315294644,,,,4.1,1.3,versicolor,4.301162634,,,,4.8,1.8,virginica,5.126402247,,,1.3,0.2,,,,,39,1.315294644,4.301162634,5.126402247,1.73,18.5,26.28
1.5,0.2,setosa,1.513274595,,,,4,1.3,versicolor,4.205948169,,,,5.4,2.1,virginica,5.793962375,,,1.5,0.2,,,,,40,1.513274595,4.205948169,5.793962375,2.29,17.69,33.57
1.3,0.3,setosa,1.334166406,,,,4.4,1.2,versicolor,4.5607017,,,,5.6,2.4,virginica,6.092618485,,,1.3,0.3,,,,,41,1.334166406,4.5607017,6.092618485,1.78,20.8,37.12
1.3,0.3,setosa,1.334166406,,,,4.6,1.4,versicolor,4.808326112,,,,5.1,2.3,virginica,5.594640292,,,1.3,0.3,,,,,42,1.334166406,4.808326112,5.594640292,1.78,23.12,31.3
1.3,0.2,setosa,1.315294644,,,,4,1.2,versicolor,4.176122604,,,,5.1,1.9,virginica,5.44242593,,,1.3,0.2,,,,,43,1.315294644,4.176122604,5.44242593,1.73,17.44,29.62
1.6,0.6,setosa,1.708800749,,,,3.3,1,versicolor,3.44818793,,,,5.9,2.3,virginica,6.33245608,,,1.6,0.6,,,,,44,1.708800749,3.44818793,6.33245608,2.92,11.89,40.1
1.9,0.4,setosa,1.941648784,,,,4.2,1.3,versicolor,4.396589587,,,,5.7,2.5,virginica,6.224146528,,,1.9,0.4,,,,,45,1.941648784,4.396589587,6.224146528,3.77,19.33,38.74
1.4,0.3,setosa,1.431782106,,,,4.2,1.2,versicolor,4.368065934,,,,5.2,2.3,virginica,5.68594759,,,1.4,0.3,,,,,46,1.431782106,4.368065934,5.68594759,2.05,19.08,32.33
1.6,0.2,setosa,1.61245155,,,,4.2,1.3,versicolor,4.396589587,,,,5,1.9,virginica,5.348831648,,,1.6,0.2,,,,,47,1.61245155,4.396589587,5.348831648,2.6,19.33,28.61
1.4,0.2,setosa,1.414213562,,,,4.3,1.3,versicolor,4.492215489,,,,5.2,2,virginica,5.571355311,,,1.4,0.2,,,,,48,1.414213562,4.492215489,5.571355311,2,20.18,31.04
1.5,0.2,setosa,1.513274595,,,,3,1.1,versicolor,3.195309062,,,,5.4,2.3,virginica,5.869412236,,,1.5,0.2,,,,,49,1.513274595,3.195309062,5.869412236,2.29,10.21,34.45
1.4,0.2,setosa,1.414213562,,,,4.1,1.3,versicolor,4.301162634,,,,5.1,1.8,virginica,5.408326913,,,1.4,0.2,,,,,50,1.414213562,4.301162634,5.408326913,2,18.5,29.25
,,,,,,,,,,,,,,,,,,,,4.7,,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.9,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.6,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.7,,1.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.3,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.6,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.9,,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.5,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.2,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.7,,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.6,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.4,,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.1,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.9,,1.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.8,,1.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.9,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.7,,1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.3,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.4,,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.8,,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,,1.7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.5,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.8,,1.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.7,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.9,,1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,1.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,1.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.7,,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.4,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.1,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.4,,1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.6,,1.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,,1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.3,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.2,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.2,,1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.2,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.3,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,,1.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.1,,1.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6,,,2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,,1.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.9,,,2.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.6,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.8,,,2.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.6,,,2.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.5,,,1.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.3,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.8,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.1,,,2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.3,,,1.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.5,,,2.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,,2.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.3,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.5,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.7,,,2.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.9,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,,,1.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.7,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.9,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.7,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.9,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.7,,,2.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.8,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.9,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.6,,,2.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.8,,,1.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.1,,,1.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.4,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.6,,,2.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,,1.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.6,,,1.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.1,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.6,,,2.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.5,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.8,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.4,,,2.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.6,,,2.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,,1.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.9,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.7,,,2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.2,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,,,1.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.2,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.4,,,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5.1,,,1.8,,,,,,,,,
